video no,v_u,peak_slope,naq,frequency,energy,slope,spectral,polarity
1,0.5000415679,0.090912394,0.2060932187,36.0089897276,11.9876737814,0.0165961031,0.1362570303,0
1,0.5004399529,0.1160647851,0.2669338703,23.5999154882,10.3447555829,0.0172299375,0.1330445334,0
1,0.4986126755,0.0903732131,0.18898921,28.1298782946,11.0282316849,0.0178604892,0.1229707171,0
1,0.5003128411,0.1138458519,0.1508346196,30.8830720555,13.3417469499,0.0177916375,0.1390855322,1
1,0.4929925986,0.0855183858,0.1965478155,34.4955896229,11.8036436335,0.0203805826,0.1367360677,1
1,0.4916818118,0.0838716509,0.2117035259,22.5888340046,11.6841497003,0.0166021768,0.118533621,0
2,0.4734195616,0.1041324467,0.1037517743,36.8411520217,10.2384344482,0.0129035425,0.1184844191,0
2,0.4895560961,0.0973744733,0.1332035614,37.3858931175,11.8643616171,0.0141539206,0.1256823609,0
2,0.4479162096,0.0442675518,0.1689449336,38.5032139474,12.9943855021,0.0142559897,0.1741660925,-1
2,0.5012936632,0.078345634,0.1150142666,34.754705617,10.8648938772,0.0130179819,0.143961225,0
2,0.3829587167,0.0688371737,0.0859482676,28.61314111,8.2995827999,0.0148479886,0.1013874946,1
2,0.4918178695,0.0818841058,0.1160315979,38.477827837,11.8861053917,0.0142177106,0.1165224897,0
2,0.4905280853,0.0577354538,0.1214989321,27.3143807597,7.088576828,0.0103699848,0.1167500217,1
2,0.4947389427,0.0857752509,0.1259495571,39.5862337083,10.6877148128,0.0163128793,0.1236525049,1
2,0.4954415688,0.0805082982,0.1067940906,39.0517516861,11.7893334662,0.0137338611,0.1217238442,-1
2,0.4470575929,0.0669794712,0.0897971372,31.8051670438,8.7383402169,0.0162101915,0.1187747869,0
2,0.4882386187,0.0767720433,0.1051410136,35.8553009884,8.8855405606,0.0151730959,0.1071734903,1
3,0.4825293401,0.0529479374,0.089234347,57.793689999,7.1811031688,0.0076532541,0.1945453098,-1
3,0.3346353481,0.0547197854,0.076993641,60.0289793176,6.3123461063,0.010629667,0.1655888078,-1
3,0.4982687278,0.0581952167,0.1021830873,48.0511001679,6.1881527991,0.0094476802,0.1548188545,-1
3,0.4765646427,0.062077937,0.0910412308,33.50111032,5.2487339145,0.0115755112,0.107322865,-1
3,0.5004343452,0.0602263251,0.0995035016,47.0596157483,6.6748524316,0.0096081555,0.1246142199,-1
4,0.5008764249,0.104646438,0.141204729,63.9863052439,9.9922966582,0.0154523226,0.1136829825,-1
4,0.5009317001,0.1053330812,0.138165458,73.1373458188,12.5441309052,0.016392144,0.1282009799,-1
4,0.4411059352,0.0957420678,0.1094056138,82.3754127768,12.6592514861,0.0121405227,0.1586279615,-1
4,0.4774370344,0.0762073559,0.1278041009,74.8512816691,15.8402634772,0.0161040334,0.1752012913,-1
4,0.4857404401,0.0946860937,0.1170610423,82.7017098213,17.2080022244,0.0161710223,0.1775673973,-1
4,0.5004275099,0.0987622902,0.1340565837,66.5040603904,15.366893666,0.018181564,0.1398817488,0
4,0.4956499469,0.0694284887,0.0986267618,72.708752345,11.8825909029,0.0181837094,0.1162717909,1
4,0.4964080401,0.08085667,0.1192540101,74.7139179752,14.8969535519,0.016388074,0.1528948978,1
5,0.4945695423,0.0677987812,0.1719521473,53.8940124798,4.6019614859,0.0100444305,0.0873451038,0
5,0.500170447,0.0897031914,0.1942428098,53.0459449251,4.9188379362,0.0106545135,0.1511500314,0
5,0.4995374417,0.0764303633,0.1480566343,50.8058480634,3.8971170378,0.010417718,0.1200646554,0
5,0.4525150423,0.0703851059,0.1648851202,48.1145790455,5.1550390817,0.0110917506,0.1185784097,1
6,0.4114555276,0.1099129881,0.0779111947,51.3162691017,11.0088356922,0.01515475,0.0859974608,0
6,0.4337200865,0.0996408615,0.0858541258,29.4991589427,10.4086196139,0.0163555715,0.09843237,-1
6,0.485361068,0.1046756634,0.0657318398,37.8501315819,11.1908054487,0.0154705385,0.1163578239,-1
6,0.4901801924,0.1169000241,0.0834651236,46.9374756966,8.2850776314,0.0152885131,0.0886937404,-1
6,0.4603824546,0.1121848966,0.0785716144,41.3102577116,11.241871267,0.0187147999,0.0951349747,1
