video,rec_t,rec_r,rec_d,rec_conf,face_pose,fp_x0,fp_y0,fp_conf0,fp_x1,fp_y1,fp_conf1,fp_x2,fp_y2,fp_conf2,fp_x3,fp_y3,fp_conf3,fp_x4,fp_y4,fp_conf4,fp_x5,fp_y5,fp_conf5,fp_x6,fp_y6,fp_conf6,fp_x7,fp_y7,fp_conf7,fp_x8,fp_y8,fp_conf8,fp_x9,fp_y9,fp_conf9,fp_x10,fp_y10,fp_conf10,fp_x11,fp_y11,fp_conf11,fp_x12,fp_y12,fp_conf12,fp_x13,fp_y13,fp_conf13,fp_x14,fp_y14,fp_conf14,fp_x15,fp_y15,fp_conf15,fp_x16,fp_y16,fp_conf16,fp_x17,fp_y17,fp_conf17,fp_x18,fp_y18,fp_conf18,fp_x19,fp_y19,fp_conf19,fp_x20,fp_y20,fp_conf20,fp_x21,fp_y21,fp_conf21,fp_x22,fp_y22,fp_conf22,fp_x23,fp_y23,fp_conf23,fp_x24,fp_y24,fp_conf24,fp_x25,fp_y25,fp_conf25,fp_x26,fp_y26,fp_conf26,fp_x27,fp_y27,fp_conf27,fp_x28,fp_y28,fp_conf28,fp_x29,fp_y29,fp_conf29,fp_x30,fp_y30,fp_conf30,fp_x31,fp_y31,fp_conf31,fp_x32,fp_y32,fp_conf32,fp_x33,fp_y33,fp_conf33,fp_x34,fp_y34,fp_conf34,fp_x35,fp_y35,fp_conf35,fp_x36,fp_y36,fp_conf36,fp_x37,fp_y37,fp_conf37,face_up_down,face_left_right,face_roll,face_conf,gaze_up_down,gaze_left_right,gaze_conf,left_eye_open,left_eye_conf,right_eye_open,right_eye_conf,mouth_open,mouth_conf,smile_level
1.0,57.5086206897,300.862068966,162.724137931,927.663793103,0.0,232.982758621,83.6637931034,1000.0,252.853448276,86.7931034483,1000.0,243.448275862,83.6810344828,1000.0,242.784482759,86.9137931034,1000.0,238.456896552,83.1896551724,1000.0,237.862068966,86.1551724138,1000.0,248.327586207,84.9655172414,1000.0,247.922413793,86.6551724138,1000.0,279.793103448,91.9568965517,1000.0,299.206896552,96.1034482759,1000.0,289.862068966,92.7844827586,1000.0,289.017241379,95.5948275862,1000.0,284.879310345,92.2155172414,1000.0,284.5,93.5775862069,1000.0,294.577586207,94.1293103448,1000.0,293.931034483,96.5517241379,1000.0,234.0,140.068965517,1000.0,275.594827586,146.172413793,1000.0,255.482758621,136.0,1000.0,254.706896552,142.043103448,1000.0,254.456896552,144.387931034,1000.0,253.206896552,152.293103448,1000.0,248.965517241,134.301724138,1000.0,248.094827586,140.784482759,1000.0,247.767241379,143.146551724,1000.0,246.586206897,150.094827586,1000.0,262.405172414,136.301724138,1000.0,261.474137931,142.775862069,1000.0,261.232758621,145.189655172,1000.0,260.327586207,152.163793103,1000.0,241.810344828,135.965517241,1000.0,241.387931034,140.310344828,1000.0,241.137931034,141.887931034,1000.0,240.198275862,147.172413793,1000.0,268.982758621,139.982758621,1000.0,268.206896552,144.267241379,1000.0,268.0,145.853448276,1000.0,267.396551724,151.155172414,1000.0,13.9482758621,-6.0775862069,12.6551724138,997.99137931,-9.9224137931,-0.724137931034,405.181034483,167.75862069,753.448275862,150.086206897,753.448275862,58.7844827586,753.448275862,22.6034482759
1.0,46.131147541,294.721311475,153.196721311,920.754098361,-0.737704918033,223.032786885,73.5245901639,1000.0,241.737704918,75.8524590164,1000.0,232.967213115,71.2131147541,1000.0,232.344262295,75.7213114754,1000.0,228.196721311,71.1967213115,1000.0,227.639344262,75.1967213115,1000.0,237.508196721,72.4918032787,1000.0,237.081967213,75.5081967213,1000.0,268.0,79.4426229508,1000.0,288.213114754,82.5573770492,1000.0,278.360655738,78.0,1000.0,277.885245902,82.0491803279,1000.0,273.147540984,77.9016393443,1000.0,272.967213115,80.5081967213,1000.0,283.229508197,79.2131147541,1000.0,282.885245902,82.9672131148,1000.0,224.262295082,128.360655738,1000.0,265.721311475,133.032786885,1000.0,243.885245902,121.573770492,1000.0,243.754098361,127.983606557,1000.0,243.721311475,129.098360656,1000.0,242.590163934,136.836065574,1000.0,237.770491803,120.213114754,1000.0,237.31147541,127.245901639,1000.0,237.229508197,128.196721311,1000.0,236.295081967,135.344262295,1000.0,251.180327869,121.836065574,1000.0,250.803278689,128.770491803,1000.0,250.68852459,129.819672131,1000.0,249.803278689,136.918032787,1000.0,231.229508197,122.639344262,1000.0,231.016393443,127.475409836,1000.0,230.918032787,128.245901639,1000.0,230.31147541,133.360655738,1000.0,258.147540984,126.049180328,1000.0,257.852459016,130.655737705,1000.0,257.868852459,131.278688525,1000.0,257.147540984,136.459016393,1000.0,14.3114754098,-14.6557377049,11.868852459,999.967213115,1.72131147541,-7.68852459016,448.737704918,245.803278689,777.049180328,202.557377049,777.049180328,30.7049180328,777.049180328,41.9836065574
1.0,49.9851851852,300.911111111,159.696296296,930.296296296,-0.333333333333,231.948148148,78.8592592593,1000.0,251.42962963,81.3185185185,1000.0,242.22962963,77.4444444444,1000.0,241.622222222,81.1851851852,1000.0,237.355555556,77.1851851852,1000.0,236.659259259,80.6148148148,1000.0,247.02962963,78.837037037,1000.0,246.592592593,80.9185185185,1000.0,278.081481481,86.1333333333,1000.0,297.155555556,89.437037037,1000.0,287.881481481,85.362962963,1000.0,287.459259259,88.6962962963,1000.0,283.074074074,85.1111111111,1000.0,282.785185185,87.1555555556,1000.0,292.533333333,86.637037037,1000.0,292.207407407,89.5259259259,1000.0,233.214814815,132.466666667,1000.0,276.511111111,138.82962963,1000.0,254.977777778,128.311111111,1000.0,254.377777778,134.177777778,1000.0,254.0,136.977777778,1000.0,252.881481481,144.577777778,1000.0,248.288888889,126.533333333,1000.0,247.488888889,132.896296296,1000.0,247.037037037,135.688888889,1000.0,246.0,142.414814815,1000.0,262.185185185,128.6,1000.0,261.562962963,134.918518519,1000.0,261.222222222,137.807407407,1000.0,260.325925926,144.562962963,1000.0,241.02962963,128.222222222,1000.0,240.614814815,132.525925926,1000.0,240.303703704,134.377777778,1000.0,239.459259259,139.540740741,1000.0,269.125925926,132.481481481,1000.0,268.666666667,136.681481481,1000.0,268.466666667,138.540740741,1000.0,267.785185185,143.748148148,1000.0,11.6074074074,-8.08888888889,11.962962963,995.925925926,-2.61481481481,-9.28888888889,402.274074074,200.748148148,633.333333333,179.903703704,633.333333333,75.5037037037,633.333333333,57.562962963
1.0,71.4,276.128571429,145.214285714,921.828571429,0.0,179.557142857,95.0,1000.0,197.671428571,89.9857142857,1000.0,188.185714286,89.4714285714,1000.0,189.171428571,93.7428571429,1000.0,183.771428571,91.0714285714,1000.0,184.642857143,95.1571428571,1000.0,192.857142857,88.9142857143,1000.0,193.471428571,91.6428571429,1000.0,224.4,82.7571428571,1000.0,244.828571429,77.7428571429,1000.0,233.442857143,77.2857142857,1000.0,234.785714286,81.4142857143,1000.0,228.528571429,79.2714285714,1000.0,229.542857143,81.7714285714,1000.0,238.628571429,76.4571428571,1000.0,239.914285714,80.1428571429,1000.0,205.457142857,145.4,1000.0,246.7,134.114285714,1000.0,220.357142857,132.057142857,1000.0,222.828571429,137.557142857,1000.0,224.085714286,141.485714286,1000.0,225.785714286,148.914285714,1000.0,214.1,133.0,1000.0,216.585714286,139.242857143,1000.0,217.728571429,142.857142857,1000.0,219.271428571,149.642857143,1000.0,227.457142857,129.485714286,1000.0,229.971428571,135.528571429,1000.0,231.285714286,139.342857143,1000.0,232.885714286,146.057142857,1000.0,209.1,137.328571429,1000.0,210.928571429,141.871428571,1000.0,211.828571429,144.514285714,1000.0,212.971428571,149.585714286,1000.0,236.157142857,130.628571429,1000.0,237.785714286,134.685714286,1000.0,238.571428571,137.185714286,1000.0,239.942857143,142.285714286,1000.0,10.2428571429,-13.9142857143,-12.5142857143,967.871428571,4.2,-9.27142857143,502.142857143,241.128571429,930.0,213.0,930.0,97.9428571429,930.0,38.7714285714
1.0,67.2909090909,272.009090909,145.981818182,887.509090909,-10.2272727273,175.036363636,96.0181818182,1000.0,192.036363636,91.0090909091,1000.0,183.209090909,91.0636363636,1000.0,183.981818182,94.8181818182,1000.0,179.063636364,92.5454545455,1000.0,179.827272727,95.9909090909,1000.0,187.581818182,90.4090909091,1000.0,187.981818182,92.7272727273,1000.0,217.181818182,83.7909090909,1000.0,237.063636364,79.5909090909,1000.0,226.254545455,79.6909090909,1000.0,227.409090909,83.2909090909,1000.0,221.409090909,81.2545454545,1000.0,222.245454545,83.3454545455,1000.0,231.254545455,78.8090909091,1000.0,232.336363636,82.2454545455,1000.0,197.872727273,146.054545455,1000.0,238.054545455,135.063636364,1000.0,209.445454545,132.981818182,1000.0,212.709090909,138.409090909,1000.0,214.172727273,142.709090909,1000.0,215.6,149.990909091,1000.0,203.972727273,133.8,1000.0,206.945454545,139.845454545,1000.0,208.263636364,143.881818182,1000.0,209.654545455,150.690909091,1000.0,217.072727273,130.427272727,1000.0,220.036363636,136.381818182,1000.0,221.427272727,140.509090909,1000.0,223.018181818,147.227272727,1000.0,199.727272727,137.809090909,1000.0,202.081818182,142.381818182,1000.0,203.145454545,145.436363636,1000.0,204.190909091,150.436363636,1000.0,226.309090909,131.827272727,1000.0,228.472727273,135.536363636,1000.0,229.3,138.209090909,1000.0,230.5,143.445454545,1000.0,10.6727272727,-19.2818181818,-10.5,947.572727273,-0.872727272727,-17.9090909091,478.2,220.172727273,936.363636364,188.345454545,936.363636364,110.445454545,936.363636364,35.4818181818
1.0,64.8157894737,266.368421053,134.289473684,872.552631579,-4.73684210526,169.131578947,90.3421052632,1000.0,186.184210526,84.0263157895,1000.0,176.526315789,84.1578947368,1000.0,178.236842105,88.2894736842,1000.0,172.473684211,86.2368421053,1000.0,173.921052632,90.0263157895,1000.0,181.026315789,83.2631578947,1000.0,182.131578947,86.0,1000.0,211.184210526,74.5263157895,1000.0,231.236842105,68.9210526316,1000.0,219.973684211,68.5789473684,1000.0,221.421052632,72.6842105263,1000.0,215.078947368,70.8947368421,1000.0,216.157894737,73.2894736842,1000.0,225.052631579,67.5789473684,1000.0,226.473684211,71.4473684211,1000.0,194.263157895,138.184210526,1000.0,234.289473684,124.184210526,1000.0,205.473684211,122.684210526,1000.0,209.026315789,128.263157895,1000.0,210.447368421,131.552631579,1000.0,212.552631579,138.868421053,1000.0,199.789473684,123.921052632,1000.0,203.131578947,130.342105263,1000.0,204.552631579,133.342105263,1000.0,206.578947368,140.342105263,1000.0,212.894736842,119.5,1000.0,216.342105263,125.815789474,1000.0,217.552631579,129.0,1000.0,219.684210526,135.973684211,1000.0,195.842105263,128.842105263,1000.0,198.394736842,133.605263158,1000.0,199.315789474,135.921052632,1000.0,201.0,141.0,1000.0,222.394736842,120.736842105,1000.0,224.736842105,124.763157895,1000.0,225.5,126.868421053,1000.0,227.078947368,132.026315789,1000.0,13.8421052632,-16.0263157895,-14.0789473684,967.763157895,5.28947368421,-3.94736842105,444.631578947,249.605263158,744.736842105,211.657894737,744.736842105,87.9473684211,744.736842105,24.6578947368
2.0,146.739726027,740.246575342,338.109589041,969.232876712,0.0,581.452054795,201.493150685,1000.0,617.068493151,204.123287671,1000.0,599.383561644,194.904109589,1000.0,599.424657534,206.164383562,1000.0,590.575342466,195.520547945,1000.0,590.452054795,205.684931507,1000.0,608.315068493,197.02739726,1000.0,608.260273973,204.876712329,1000.0,666.753424658,201.712328767,1000.0,706.315068493,195.698630137,1000.0,686.397260274,188.821917808,1000.0,686.506849315,202.410958904,1000.0,676.589041096,192.136986301,1000.0,676.602739726,201.712328767,1000.0,696.315068493,189.301369863,1000.0,696.438356164,201.232876712,1000.0,611.301369863,307.616438356,1000.0,676.767123288,302.945205479,1000.0,640.643835616,293.0,1000.0,642.082191781,302.904109589,1000.0,642.561643836,308.534246575,1000.0,643.287671233,321.547945205,1000.0,630.356164384,292.890410959,1000.0,631.863013699,303.301369863,1000.0,632.328767123,308.904109589,1000.0,632.616438356,320.260273973,1000.0,651.835616438,291.397260274,1000.0,652.821917808,301.780821918,1000.0,653.424657534,307.452054795,1000.0,654.410958904,318.726027397,1000.0,620.493150685,297.616438356,1000.0,621.917808219,305.01369863,1000.0,622.287671233,308.863013699,1000.0,622.383561644,317.671232877,1000.0,663.726027397,294.98630137,1000.0,664.178082192,302.02739726,1000.0,664.438356164,305.863013699,1000.0,665.301369863,314.616438356,1000.0,-0.328767123288,-6.6301369863,-0.287671232877,999.493150685,1.20547945205,0.561643835616,659.424657534,346.410958904,1000.0,370.589041096,1000.0,92.3424657534,1000.0,12.8082191781
2.0,123.760869565,734.195652174,284.456521739,893.706521739,-0.244565217391,603.222826087,163.885869565,1000.0,632.885869565,168.385869565,1000.0,618.614130435,159.347826087,1000.0,617.989130435,168.820652174,1000.0,611.152173913,159.52173913,1000.0,610.592391304,167.951086957,1000.0,625.956521739,161.684782609,1000.0,625.543478261,168.391304348,1000.0,673.054347826,169.402173913,1000.0,706.027173913,166.64673913,1000.0,689.940217391,160.559782609,1000.0,689.315217391,170.798913043,1000.0,681.695652174,162.722826087,1000.0,681.222826087,169.777173913,1000.0,698.108695652,161.456521739,1000.0,697.554347826,170.418478261,1000.0,620.092391304,254.22826087,1000.0,679.423913043,253.456521739,1000.0,647.717391304,245.119565217,1000.0,648.320652174,252.527173913,1000.0,648.565217391,260.092391304,1000.0,648.538043478,270.375,1000.0,638.516304348,244.326086957,1000.0,638.994565217,252.244565217,1000.0,639.125,259.711956522,1000.0,638.880434783,268.440217391,1000.0,657.619565217,244.157608696,1000.0,658.179347826,252.005434783,1000.0,658.489130435,259.52173913,1000.0,658.72826087,268.266304348,1000.0,629.364130435,247.331521739,1000.0,629.836956522,252.85326087,1000.0,629.951086957,258.005434783,1000.0,629.766304348,265.233695652,1000.0,667.994565217,247.233695652,1000.0,668.282608696,252.423913043,1000.0,668.434782609,257.489130435,1000.0,668.722826087,264.706521739,1000.0,-5.47282608696,-3.42934782609,3.99456521739,909.206521739,0.576086956522,2.73369565217,548.739130435,379.918478261,804.347826087,368.35326087,804.347826087,155.179347826,804.347826087,42.6739130435
2.0,127.682926829,746.12195122,287.292682927,903.682926829,0.0,618.487804878,168.024390244,1000.0,647.975609756,175.12195122,1000.0,634.097560976,164.512195122,1000.0,633.0,174.487804878,1000.0,626.634146341,164.219512195,1000.0,625.658536585,172.804878049,1000.0,641.365853659,167.365853659,1000.0,640.512195122,174.634146341,1000.0,686.43902439,177.12195122,1000.0,718.097560976,174.292682927,1000.0,702.756097561,168.609756098,1000.0,702.097560976,178.853658537,1000.0,694.829268293,170.512195122,1000.0,694.219512195,177.804878049,1000.0,710.707317073,169.365853659,1000.0,709.975609756,178.414634146,1000.0,629.390243902,252.634146341,1000.0,693.365853659,253.975609756,1000.0,660.0,247.195121951,1000.0,660.292682927,254.43902439,1000.0,660.268292683,259.463414634,1000.0,659.902439024,269.804878049,1000.0,650.243902439,245.707317073,1000.0,650.146341463,253.536585366,1000.0,649.951219512,258.829268293,1000.0,649.585365854,267.414634146,1000.0,670.390243902,246.317073171,1000.0,670.780487805,254.048780488,1000.0,671.048780488,259.317073171,1000.0,670.829268293,267.975609756,1000.0,640.048780488,248.12195122,1000.0,640.097560976,253.097560976,1000.0,640.024390244,256.390243902,1000.0,639.634146341,263.634146341,1000.0,681.243902439,249.268292683,1000.0,681.512195122,254.0,1000.0,681.585365854,257.365853659,1000.0,681.585365854,264.609756098,1000.0,-13.7317073171,5.19512195122,7.21951219512,940.780487805,-1.0,4.9756097561,430.853658537,438.317073171,534.146341463,426.682926829,534.146341463,130.853658537,534.146341463,81.9512195122
2.0,123.204081633,723.571428571,281.0,869.653061224,0.0,596.448979592,163.12244898,1000.0,623.428571429,170.510204082,1000.0,611.102040816,160.510204082,1000.0,609.571428571,168.87755102,1000.0,604.204081633,159.755102041,1000.0,602.775510204,167.244897959,1000.0,617.755102041,163.612244898,1000.0,616.591836735,169.428571429,1000.0,663.469387755,172.632653061,1000.0,695.489795918,169.693877551,1000.0,680.081632653,163.93877551,1000.0,679.285714286,174.020408163,1000.0,672.020408163,165.959183673,1000.0,671.408163265,173.020408163,1000.0,688.0,164.836734694,1000.0,687.285714286,173.551020408,1000.0,606.224489796,244.653061224,1000.0,673.326530612,246.081632653,1000.0,634.12244898,238.979591837,1000.0,635.469387755,246.693877551,1000.0,635.653061224,254.959183673,1000.0,634.897959184,266.510204082,1000.0,624.571428571,237.530612245,1000.0,625.469387755,245.673469388,1000.0,625.530612245,254.224489796,1000.0,624.530612245,263.326530612,1000.0,646.081632653,238.265306122,1000.0,647.204081633,246.204081633,1000.0,647.285714286,254.816326531,1000.0,647.142857143,264.020408163,1000.0,615.183673469,239.346938776,1000.0,616.142857143,244.87755102,1000.0,616.12244898,250.714285714,1000.0,615.224489796,258.673469388,1000.0,658.673469388,241.326530612,1000.0,659.346938776,246.183673469,1000.0,659.530612245,251.734693878,1000.0,659.469387755,259.795918367,1000.0,1.4693877551,-7.61224489796,6.16326530612,835.775510204,2.73469387755,1.67346938776,541.795918367,349.551020408,808.163265306,357.795918367,808.163265306,155.510204082,808.163265306,95.0204081633
