Video,Happy,Sad,Angry,Surprised,LeftEyeClosed,RightEyeClosed,MouthOpen
1,0.0,0.0,0.0,0.0,100.0,27.5,0.0
1,7.35,0.0,0.0,0.0,66.9,15.0,3.0
1,55.0,0.0,0.0,0.0,33.45,31.599999999999998,2.65
1,38.2,0.0,0.0,0.0,10.65,15.65,2.35
1,0.0,0.0,0.0,0.0,0.0,0.0,0.5
1,0,0,0,0,0,0,0
2,33.3,0.0,0.0,0.0,1.3,33.8,0.7
2,60.85,0.0,0.0,0.0,0.65,16.25,4.35
2,100.0,0.0,0.0,0.0,0.0,25.0,3.65
2,100.0,0.0,0.0,0.0,5.65,12.5,7.0
2,91.4,0.0,0.0,0.0,0.0,18.15,0.0
2,91.4,0.0,0.0,0.0,0.0,15.65,2.0
2,100.0,0.0,0.0,0.0,6.25,1.9,4.699999999999999
2,61.1,0.0,0.0,16.0,0.0,4.4,3.0
2,5.0,0.0,0.0,16.0,0.0,0.0,4.65
2,0.0,0.0,0.0,0.0,0.0,11.3,0.0
2,0,0,0,0,0,0,0
3,0.0,0.0,0.0,0.0,19.4,14.4,0.7
3,1.45,0.0,0.0,0.0,20.95,24.4,3.3
3,16.35,0.0,0.0,0.0,21.25,20.95,4.65
3,24.299999999999997,0.0,0.0,0.0,33.15,16.25,6.35
3,20.75,0.0,0.0,0.0,35.05,8.15,5.65
4,92.2,0.0,0.0,0.0,0.0,0.0,0.0
4,96.45,0.0,0.0,0.0,0.0,6.9,7.0
4,46.45,0.0,0.0,0.0,11.9,2.2,0.0
4,0.0,0.0,0.0,1.75,15.65,0.0,1.65
4,8.6,0.0,16.1,0.0,60.0,42.5,2.0
4,8.6,0.0,35.55,0.0,50.0,50.0,0.0
4,13.75,0.0,26.95,9.75,0.0,0.0,3.0
4,27.5,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,100.0,100.0,5.3
5,0.0,0.0,0.0,0.0,52.5,50.0,2.0
5,0.0,0.0,0.0,40.65,26.299999999999997,23.75,1.65
5,0.0,0.0,0.0,50.0,21.25,28.75,4.0
6,26.2,0.0,0.0,0.0,0.0,1.3,2.7
6,12.45,0.0,0.0,0.0,42.2,0.3,0.15
6,28.8,0.0,0.0,0.0,45.0,30.65,1.0
6,53.050000000000004,0.0,0.0,0.0,47.849999999999994,39.4,7.0
6,34.2,0.0,0.0,0.0,46.9,26.9,0.7
7,53.3,0.0,32.2,0.0,0.0,22.5,0.0
7,32.25,0.0,16.1,0.0,41.25,23.75,0.0
7,34.0,0.0,2.0,0.0,37.5,12.5,0.0
7,32.050000000000004,0.0,0.0,0.0,0.0,18.75,0.0
7,20.75,0.0,0.0,0.0,50.0,50.0,2.65
7,67.30000000000001,0.0,0.0,0.0,50.0,50.0,6.65
7,84.9,0.0,0.0,0.0,0.0,16.9,7.3
8,28.1,0.0,100.0,0.0,0.0,0.0,0.0
8,26.35,0.0,100.0,0.0,0.0,13.75,0.0
8,9.8,0.0,100.0,0.0,2.5,4.4,0.0
8,4.8,0.0,100.0,0.0,11.9,12.5,0.0
9,0.0,0.0,0.0,0.0,10.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2.2,0.0,0.0,0.0,16.9,42.5,0.0
10,0.0,0.0,0.0,16.5,27.5,0.0,0.0
10,0.0,0.0,0.0,1.4,28.15,17.55,3.65
10,0.0,0.0,0.0,0.0,22.5,0.0,0.15
10,50.0,0.0,0.0,0.0,0.0,0.0,4.65
10,96.95,0.0,0.0,0.0,50.0,50.0,2.65
10,94.45,0.0,0.0,0.0,52.5,50.0,7.35
10,57.8,0.0,0.0,3.65,11.25,0.65,7.0
10,46.0,0.0,0.0,0.0,12.5,0.0,3.35
10,50.7,0.0,0.0,0.0,46.9,42.5,0.0
11,40.6,0.0,0.0,0.0,100.0,90.0,0.0
11,20.3,0.0,0.0,0.0,100.0,75.0,0.15
11,0.0,0.0,0.0,0.0,100.0,100.0,0.0
11,9.05,0.0,0.0,0.0,77.5,50.0,0.65
11,12.1,0.0,0.0,0.0,50.0,45.65,2.65
12,0.0,0.0,0.0,0.0,93.8,65.0,0.0
12,0.0,0.0,0.0,0.0,89.7,37.8,2.65
12,2.95,0.0,0.0,0.0,80.65,2.5,0.8
12,0.3,0.0,0.0,0.0,72.55,19.7,5.0
12,0.0,0.0,0.0,0.0,95.0,75.65,4.0
12,6.9,0.0,0.0,0.0,100.0,64.1,0.65
12,2.85,0.0,0.0,0.0,85.0,44.7,1.0
12,0.0,0.0,0.0,0.0,55.65,40.3,3.0
12,0.0,0.0,0.0,0.0,35.95,36.9,3.7
12,0.0,0.0,0.0,0.0,66.9,67.85,0.0
13,50.8,0.0,0.0,0.0,13.8,0.0,0.3
13,25.4,0.0,0.0,0.0,36.9,45.95,0.0
13,19.200000000000003,0.0,0.0,0.0,49.4,45.0,0.0
13,12.8,0.0,0.0,14.75,23.15,26.9,0.0
13,32.1,0.0,0.0,19.5,56.9,59.4,4.35
13,48.3,0.0,0.0,0.0,64.4,59.4,4.35
13,18.7,0.0,0.0,0.0,25.65,43.15,0.0
13,9.45,0.0,0.0,0.0,20.65,51.9,0.0
14,0,0,0,0,0,0,0
14,23.6,0.0,0.0,0.0,66.3,100.0,0.0
14,15.95,0.0,22.9,0.0,33.15,73.75,0.0
14,12.95,0.0,22.9,0.0,0.65,76.25,0.0
14,25.9,0.0,0.0,0.0,7.5,63.8,0.0
14,0.0,60.8,0.0,0.0,0.0,60.0,0.0
14,5.35,0.0,0.0,2.35,11.25,78.75,2.65
15,33.85,0.0,0.0,0.0,59.1,50.65,3.65
15,19.75,0.0,1.0,0.0,58.1,68.15,8.0
15,28.15,0.0,3.5,0.0,70.3,47.55,4.35
15,49.900000000000006,0.0,12.5,0.0,57.85,67.2,0.7
15,59.349999999999994,0.0,0.0,0.0,42.55,35.3,3.65
15,48.0,0.0,17.3,0.0,60.0,33.75,5.65
15,21.549999999999997,0.0,14.1,0.0,50.6,50.95,5.0
16,0.0,0.0,0.0,0.0,16.3,23.8,0.0
16,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0
17,0.0,0.0,15.6,0.7,0.0,0.0,8.0
17,0.0,0.0,10.95,0.0,38.8,3.15,4.65
17,0.0,0.0,0.0,0.0,88.15,62.5,3.3
17,48.9,0.0,0.0,0.0,50.0,30.0,0.35
17,48.9,0.0,0.0,24.0,45.05,6.25,0.0
18,48.3,5.6,0.0,0.0,0.0,0.0,6.0
18,10.85,10.0,3.05,0.0,17.5,6.9,0.0
18,2.2,0.0,1.65,0.0,0.0,15.65,0.0
18,0.0,0.0,0.0,0.0,50.0,59.4,3.65
18,28.5,0.0,0.0,0.0,50.0,53.75,0.0
18,56.300000000000004,0.0,0.0,0.0,9.4,2.5,3.0
19,31.4,0.0,3.0,0.0,1.9,18.1,0.0
19,45.4,0.0,21.95,0.0,9.7,12.8,2.0
19,28.45,0.0,16.2,0.0,0.0,3.75,0.0
19,30.9,0.0,0.0,0.0,5.3,15.95,5.0
19,44.0,0.0,0.0,0.0,3.45,16.6,8.35
19,36.099999999999994,0.0,0.0,0.0,0.0,8.75,0.65
19,37.6,0.0,0.0,0.0,29.4,43.45,0.0
21,0.0,0.0,0.0,0.0,100.0,100.0,0.0
21,18.75,0.0,0.0,0.0,80.0,90.3,1.65
21,22.2,0.0,0.0,0.0,65.0,82.8,0.65
21,0.0,0.0,0.0,0.0,44.4,73.15,1.7000000000000002
21,0.0,0.0,0.0,0.0,38.45,100.0,1.5
21,0.0,0.0,0.0,10.5,34.4,47.55,4.0
22,0.0,0.0,46.400000000000006,4.25,4.05,0.0,0.0
22,0.0,0.0,53.3,7.5,50.0,50.0,0.0
22,0.0,0.0,68.35,0.0,60.95,50.0,0.0
22,0.0,0.0,73.1,0.0,31.3,0.0,0.0
23,45.6,0.0,0.0,0.0,0.0,0.0,0.0
23,58.4,0.0,24.0,0.0,0.0,0.0,0.0
23,61.4,0.0,0.0,0.0,0.0,0.0,3.3
